,TOPIC,CLASSIFICATION,GROUP,SUBGROUP,ESTIMATE,TIME_PERIOD,REVERSE_ESTIMATE
9617,Delayed getting medical care due to cost among adults,Geographic Characteristic,Metropolitan statistical area,Non-MSA,7.7,2024,92.3
9618,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Northeast,6.3,2019,93.7
9619,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Northeast,5.4,2020,94.6
9620,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Northeast,4.7,2021,95.3
9621,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Northeast,5.5,2022,94.5
9622,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Northeast,4.5,2023,95.5
9623,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Northeast,6.3,2024,93.7
9624,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Midwest,8.4,2019,91.6
9625,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Midwest,7.9,2020,92.1
9626,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Midwest,7.5,2021,92.5
9627,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Midwest,5.8,2022,94.2
9628,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Midwest,6.1,2023,93.9
9629,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,Midwest,8.4,2024,91.6
9630,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,South,11.1,2019,88.9
9631,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,South,9.0,2020,91.0
9632,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,South,7.9,2021,92.1
9633,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,South,8.5,2022,91.5
9634,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,South,9.1,2023,90.9
9635,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,South,10.1,2024,89.9
9636,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,West,8.4,2019,91.6
9637,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,West,6.4,2020,93.6
9638,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,West,7.3,2021,92.7
9639,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,West,6.8,2022,93.2
9640,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,West,7.1,2023,92.9
9641,Delayed getting medical care due to cost among adults,Geographic Characteristic,Region,West,7.9,2024,92.1
9642,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,6.7,2019,93.3
9643,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,6.6,2020,93.4
9644,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,6.7,2021,93.3
9645,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,5.9,2022,94.1
9646,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,5.9,2023,94.1
9647,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,8.2,2024,91.8
9648,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Low social vulnerability,8.9,2019,91.1
9649,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Low social vulnerability,6.8,2020,93.2
9650,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Low social vulnerability,7.3,2021,92.7
9651,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Low social vulnerability,6.3,2022,93.7
9652,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Low social vulnerability,6.6,2023,93.4
9653,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Low social vulnerability,8.0,2024,92.0
9654,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Medium social vulnerability,10.0,2019,90.0
9655,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Medium social vulnerability,8.2,2020,91.8
9656,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Medium social vulnerability,7.4,2021,92.6
9657,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Medium social vulnerability,6.9,2022,93.1
9658,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Medium social vulnerability,7.6,2023,92.4
9659,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,Medium social vulnerability,9.2,2024,90.8
9660,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,High social vulnerability,9.8,2019,90.2
9661,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,High social vulnerability,8.1,2020,91.9
9662,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,High social vulnerability,6.9,2021,93.1
9663,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,High social vulnerability,8.1,2022,91.9
9664,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,High social vulnerability,7.9,2023,92.1
9665,Delayed getting medical care due to cost among adults,Geographic Characteristic,Social vulnerability,High social vulnerability,8.8,2024,91.2
9666,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large central metro,9.1,2019,90.9
9667,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large central metro,7.2,2020,92.8
9668,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large central metro,6.3,2021,93.7
9669,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large central metro,7.2,2022,92.8
9670,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large central metro,6.7,2023,93.3
9671,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large central metro,8.1,2024,91.9
9672,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large fringe metro,7.9,2019,92.1
9673,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large fringe metro,6.7,2020,93.3
9674,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large fringe metro,6.5,2021,93.5
9675,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large fringe metro,6.7,2022,93.3
9676,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large fringe metro,6.5,2023,93.5
9677,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Large fringe metro,7.9,2024,92.1
9678,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Medium and small metro,9.6,2019,90.4
9679,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Medium and small metro,8.2,2020,91.8
9680,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Medium and small metro,7.6,2021,92.4
9681,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Medium and small metro,6.9,2022,93.1
9682,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Medium and small metro,8.2,2023,91.8
9683,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Medium and small metro,9.9,2024,90.1
9684,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Nonmetropolitan,9.8,2019,90.2
9685,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Nonmetropolitan,8.2,2020,91.8
9686,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Nonmetropolitan,9.2,2021,90.8
9687,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Nonmetropolitan,7.8,2022,92.2
9688,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Nonmetropolitan,7.2,2023,92.8
9689,Delayed getting medical care due to cost among adults,Geographic Characteristic,Urbanicity,Nonmetropolitan,8.1,2024,91.9
9690,Delayed getting medical care due to cost among adults,Socioeconomic Characteristic,Education,No high school diploma or GED,13.9,2019,86.1
9691,Delayed getting medical care due to cost among adults,Socioeconomic Characteristic,Education,No high school diploma or GED,11.8,2020,88.2
9692,Delayed getting medical care due to cost among adults,Socioeconomic Characteristic,Education,No high school diploma or GED,9.0,2021,91.0
9693,Delayed getting medical care due to cost among adults,Socioeconomic Characteristic,Education,No high school diploma or GED,11.5,2022,88.5
9694,Delayed getting medical care due to cost among adults,Socioeconomic Characteristic,Education,No high school diploma or GED,10.6,2023,89.4
9695,Delayed getting medical care due to cost among adults,Socioeconomic Characteristic,Education,No high school diploma or GED,10.4,2024,89.6
9696,Delayed getting medical care due to cost among adults,Socioeconomic Characteristic,Education,High school diploma or GED,10.0,2019,90.0
9697,Delayed getting medical care due to cost among adults,Socioeconomic Characteristic,Education,High school diploma or GED,8.5,2020,91.5
